"10001"	"169"	"58"	"24"	"27"	"30"	"28"	"59"	"17"	"47"	"79"	"65"	"48"	"84"	"32"	"86"	"62"	"41"	"54"	"84"	"66"	"82"	"39"	"73"	"69"	"82"	"95"	"96"	"97"	"79"	"99"	"88"	"87"	"88"	"97"	"73"	"70"	"65"	"77"	"67"	"94"	"91"	"66"	"89"	"70"	"70"	"80"	"69"	"83"	"96"	"69"	"67"	"68"	"67"	"73"	"93"	"83"	"82"	"100"	"85"	"65"	"80"
"10002"	"169"	"7"	"54"	"37"	"20"	"2"	"67"	"40"	"51"	"98"	"84"	"69"	"65"	"38"	"59"	"72"	"62"	"87"	"78"	"93"	"36"	"82"	"92"	"86"	"92"	"84"	"77"	"62"	"84"	"92"	"74"	"83"	"83"	"92"	"83"	"95"	"98"	"98"	"99"	"62"	"91"	"80"	"75"	"86"	"88"	"61"	"91"	"77"	"91"	"65"	"81"	"92"	"99"	"71"	"67"	"75"	"70"	"70"	"86"	"88"	"70"
"10003"	"169"	"41"	"23"	"68"	"80"	"24"	"45"	"9"	"91"	"75"	"78"	"36"	"81"	"45"	"96"	"55"	"93"	"93"	"40"	"63"	"32"	"50"	"89"	"80"	"88"	"99"	"66"	"86"	"90"	"82"	"67"	"86"	"91"	"63"	"68"	"98"	"80"	"97"	"66"	"65"	"99"	"94"	"72"	"70"	"68"	"66"	"68"	"77"	"72"	"94"	"99"	"88"	"98"	"78"	"67"	"65"	"93"	"92"	"85"	"91"	"70"
"10004"	"169"	"58"	"68"	"60"	"2"	"21"	"12"	"28"	"99"	"47"	"94"	"61"	"43"	"69"	"61"	"89"	"48"	"96"	"93"	"51"	"47"	"39"	"67"	"81"	"70"	"74"	"89"	"99"	"95"	"70"	"66"	"63"	"62"	"64"	"65"	"77"	"93"	"72"	"92"	"79"	"72"	"99"	"78"	"96"	"69"	"67"	"88"	"89"	"66"	"61"	"77"	"76"	"68"	"78"	"98"	"90"	"75"	"80"	"97"	"97"	"96"
"10005"	"166"	"68"	"11"	"25"	"57"	"70"	"71"	"35"	"72"	"36"	"80"	"73"	"99"	"37"	"33"	"55"	"96"	"64"	"100"	"92"	"43"	"59"	"97"	"74"	"76"	"100"	"90"	"77"	"68"	"86"	"94"	"81"	"93"	"66"	"85"	"89"	"88"	"62"	"96"	"100"	"75"	"63"	"83"	"73"	"97"	"73"	"79"	"89"	"78"	"84"	"99"	"84"	"70"	"81"	"71"	"81"	"92"	"92"	"71"	"88"	"93"
"10006"	"166"	"5"	"2"	"1"	"70"	"65"	"7"	"68"	"76"	"77"	"64"	"68"	"34"	"83"	"96"	"94"	"43"	"42"	"84"	"84"	"33"	"49"	"94"	"76"	"94"	"67"	"68"	"79"	"97"	"90"	"79"	"86"	"91"	"86"	"87"	"74"	"75"	"73"	"99"	"100"	"79"	"93"	"80"	"67"	"85"	"61"	"81"	"80"	"84"	"68"	"85"	"78"	"95"	"78"	"88"	"89"	"88"	"93"	"99"	"63"	"88"
"10007"	"166"	"11"	"38"	"50"	"30"	"5"	"80"	"64"	"42"	"68"	"79"	"82"	"34"	"90"	"78"	"40"	"90"	"88"	"82"	"48"	"31"	"35"	"77"	"91"	"62"	"65"	"69"	"86"	"71"	"83"	"71"	"84"	"67"	"78"	"83"	"77"	"77"	"99"	"78"	"78"	"81"	"83"	"83"	"89"	"77"	"76"	"97"	"65"	"83"	"90"	"70"	"69"	"97"	"83"	"80"	"95"	"96"	"83"	"73"	"63"	"80"
"10008"	"166"	"33"	"61"	"49"	"44"	"48"	"76"	"33"	"88"	"32"	"93"	"54"	"40"	"40"	"87"	"85"	"83"	"41"	"90"	"73"	"94"	"87"	"96"	"94"	"63"	"66"	"90"	"77"	"79"	"63"	"87"	"73"	"94"	"67"	"76"	"72"	"81"	"96"	"62"	"73"	"72"	"77"	"89"	"86"	"71"	"78"	"71"	"72"	"64"	"76"	"67"	"70"	"68"	"69"	"98"	"87"	"64"	"78"	"87"	"90"	"65"
"10009"	"166"	"12"	"38"	"11"	"18"	"58"	"80"	"51"	"55"	"39"	"46"	"96"	"77"	"40"	"97"	"79"	"72"	"43"	"64"	"42"	"65"	"89"	"70"	"70"	"81"	"95"	"79"	"71"	"79"	"91"	"68"	"83"	"88"	"88"	"76"	"77"	"91"	"100"	"65"	"100"	"66"	"80"	"64"	"90"	"77"	"90"	"66"	"82"	"85"	"68"	"77"	"63"	"65"	"100"	"69"	"74"	"90"	"78"	"76"	"95"	"72"
"10010"	"166"	"22"	"24"	"30"	"45"	"64"	"30"	"28"	"98"	"93"	"71"	"40"	"35"	"71"	"31"	"62"	"33"	"54"	"48"	"48"	"84"	"78"	"82"	"65"	"79"	"87"	"69"	"78"	"89"	"68"	"93"	"77"	"96"	"97"	"75"	"99"	"89"	"75"	"67"	"83"	"78"	"93"	"96"	"87"	"72"	"63"	"97"	"65"	"92"	"92"	"95"	"96"	"98"	"69"	"63"	"81"	"96"	"76"	"81"	"62"	"75"
