"AA"	"10001"	"RAP"	"06:00"	"DFW"	"09:45"
"AA"	"10002"	"DFW"	"10:49"	"RAP"	"12:34"
"AA"	"10003"	"RAP"	"16:32"	"DFW"	"20:17"
"AA"	"10004"	"DFW"	"21:21"	"RAP"	"23:06"
"AA"	"10005"	"JAX"	"06:00"	"CLT"	"07:29"
"AA"	"10006"	"CLT"	"08:33"	"JAX"	"10:02"
"AA"	"10007"	"JAX"	"16:32"	"CLT"	"18:01"
"AA"	"10008"	"CLT"	"19:05"	"JAX"	"20:34"
"AA"	"10009"	"JAX"	"06:24"	"MIA"	"07:54"
"AA"	"10010"	"MIA"	"08:58"	"JAX"	"10:28"
"AA"	"10011"	"JAX"	"16:56"	"MIA"	"18:26"
"AA"	"10012"	"MIA"	"19:30"	"JAX"	"21:00"
"AA"	"10013"	"JAX"	"06:48"	"PHL"	"09:10"
"AA"	"10014"	"PHL"	"10:14"	"JAX"	"12:36"
"AA"	"10015"	"JAX"	"17:20"	"PHL"	"19:42"
"AA"	"10016"	"PHL"	"20:46"	"JAX"	"23:08"
"AA"	"10017"	"JAX"	"07:12"	"ORD"	"09:00"
"AA"	"10018"	"ORD"	"10:04"	"JAX"	"13:52"
"AA"	"10019"	"JAX"	"17:44"	"ORD"	"19:32"
"AA"	"10020"	"ORD"	"20:36"	"JAX"	"00:24"
"AA"	"10021"	"JAX"	"07:36"	"DFW"	"09:28"
"AA"	"10022"	"DFW"	"10:32"	"JAX"	"14:24"
"AA"	"10023"	"JAX"	"18:08"	"DFW"	"20:00"
"AA"	"10024"	"DFW"	"21:04"	"JAX"	"00:56"
"AA"	"10025"	"TVC"	"06:00"	"ORD"	"06:15"
"AA"	"10026"	"ORD"	"07:19"	"TVC"	"09:34"
"AA"	"10027"	"TVC"	"16:32"	"ORD"	"16:47"
"AA"	"10028"	"ORD"	"17:51"	"TVC"	"20:06"
"AA"	"10029"	"KTN"	"06:00"	"JNU"	"07:17"
"AA"	"10030"	"JNU"	"08:21"	"KTN"	"09:38"
"AA"	"10031"	"KTN"	"16:32"	"JNU"	"17:49"
"AA"	"10032"	"JNU"	"18:53"	"KTN"	"20:10"
"AA"	"10033"	"KTN"	"07:00"	"SEA"	"10:13"
"AA"	"10034"	"SEA"	"11:17"	"KTN"	"12:30"
"AA"	"10035"	"KTN"	"17:32"	"SEA"	"20:45"
"AA"	"10036"	"SEA"	"21:49"	"KTN"	"23:02"
"AA"	"10037"	"XNA"	"06:00"	"DFW"	"07:23"
"AA"	"10038"	"DFW"	"08:27"	"XNA"	"09:50"
"AA"	"10039"	"XNA"	"16:32"	"DFW"	"17:55"
"AA"	"10040"	"DFW"	"18:59"	"XNA"	"20:22"
"AA"	"10041"	"XNA"	"06:24"	"ORD"	"08:17"
"AA"	"10042"	"ORD"	"09:21"	"XNA"	"11:14"
"AA"	"10043"	"XNA"	"16:56"	"ORD"	"18:49"
"AA"	"10044"	"ORD"	"19:53"	"XNA"	"21:46"
